"NIF/NIE","NIF/NIE"
"Male","Masculino"
"Female","Femenino"
"You must be +18 yo.","Usted debe ser mayor de edad"
"Please input a valid spanish ID CIF/NIF/NIE.","Por favor, introduzca un CIF/NIF/NIE válido."
"Please input a valid spanish company CIF.","Por favor, introduzca un CIF de empresa válido"
"Please input a valid spanish NIF/NIE.","Por favor, introduzca un NIF/NIE válido."
"You have read and accepted our <a href=""%s"">Privacy Policy</a>","Ha leído y aceptado nuestra <a href=""%s"">Política de Privacidad</a>"
"Company","Empresa"
"LOPD, GDPR and Privacy Policy","LOPD, RGPD y Política de Privacidad"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor, abra en su correo electrónico el enlace de confirmación. Para volver a enviar el correo electrónico de confirmación por favor, <a href=""%s"">pulse aquí</a>."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Su cuenta no está confirmada. <a href=""%s"">Clique aquí</a> para reenviar el correo electrónico de confirmación."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si existe una cuenta asociada con %s recibirá un correo electrónico con un enlace para cambiar su contraseña."
"Accept Cookies","Aceptar cookies"
"Accept Account","Aceptar Cuenta"
"Accept Privacy Policy","Aceptar Política Privacidad"
"I agree that %s inform me through a newsletter about offers and products, and follow up on those newsletters.","Estoy de acuerdo que %s me informe a través de un boletín sobre ofertas y productos y haga un seguimiento de dichos boletines."
"I agree that %s make use of own and third party cookies for its operation, to maintain the session and personalize the user experience, as well as obtain anonymous statistics on the use of the website.","Estoy de acuerdo que %s haga uso de Cookies propias y de terceros para su operación, para mantener la sesión y personalizar la experiencia de usuario, así como obtener estadísticas anónimas del uso de la página web."
"I agree that %s make use of my personal information to create and account in this website to use it.","Estoy de acuerdo que %s haga uso de mi información personal para crear una cuenta en esta página web para su uso."
"User account","Cuenta de usuario"
"I have read and accepted the Privacy Policy","He leído y aceptado la Política de Privacidad"
"Acceptance of our Privacy Policy","Aceptación de nuestra Política de Privacidad"
